"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"R8,R5,R12,R7,R4,R3,R1,R2,R6,R9,R10,R11";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";12;"4k7";;;
2;"J22,J17,J13,J19,J12,J11,J14,J24,J18";"PinHeader_1x05_P2.54mm_Vertical";9;"Conn_01x05_Pin";;;
3;"J25,J23,J7,J4,J5,J26,J3";"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal";7;"Screw_Terminal_01x02";;;
4;"J21";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
5;"R18,R19,R20,R17,R16";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";5;"100k";;;
6;"U1";"MODULE_DEVKIT_V1_ESP32-WROOM-32";1;"DEVKIT_V1_ESP32-WROOM-32";;;
7;"J10,J16,J8";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";3;"Conn_01x04";;;
8;"C11,C8,C10,C6,C2,C12";"CP_Radial_D5.0mm_P2.50mm";6;"100nF";;;
9;"R15,R13,R14";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";3;"1k";;;
10;"J501";"PinSocket_1x08_P2.54mm_Vertical";1;"Conn_01x08_Socket";;;
11;"J41";"PinSocket_1x03_P2.54mm_Vertical";1;"BUZZER";;;
12;"Q5,Q3,Q1";"TO-92_Inline";3;"BC547";;;
13;"SW3,SW2";"SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm";2;"SW_DIP_x04";;;
14;"J51,J50";"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal";2;"Screw_Terminal_01x03";;;
15;"Q7,Q8,Q9";"TO-220-3_Vertical";3;"AOT482L";;;
16;"R501";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"330";;;
17;"J47,J49";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";2;"Conn_01x03";;;
18;"J6";"BarrelJack_Wuerth_6941xx301002";1;"Barrel_Jack_MountingPin";;;
19;"J28";"IDC-Header_2x08_P2.54mm_Vertical";1;"Conn_02x08_Odd_Even";;;
20;"D1,D2";"LED_D5.0mm";2;"LED";;;
21;"SW6,SW4";"SW_PUSH_6mm";2;"SW_Push";;;
22;"J1,J2";"PinHeader_1x19_P2.54mm_Vertical";2;"Conn_01x19_Pin";;;
23;"C4";"CP_Radial_D5.0mm_P2.50mm";1;"1u";;;
24;"J15,J9";"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal";2;"Screw_Terminal_01x04";;;
25;"C1,C9,C7";"CP_Radial_D5.0mm_P2.50mm";3;"1uF";;;
26;"J45,J44";"PinSocket_2x05_P2.54mm_Vertical";2;"Conn_02x05_Top_Bottom";;;
27;"J42";"PinSocket_1x04_P2.54mm_Vertical";1;"KY037";;;
28;"Q6,Q4,Q2";"TO-92_Inline";3;"BC557";;;
29;"SW1";"SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm";1;"SW_DIP_x02";;;
30;"J20";"PinSocket_1x06_P2.54mm_Vertical";1;"PCM5102A";;;
31;"J52";"PinSocket_1x03_P2.54mm_Vertical";1;"D4012SA";;;
32;"C5";"CP_Radial_D5.0mm_P2.50mm";1;"100n";;;
33;"C3";"CP_Radial_D5.0mm_P2.50mm";1;"10u";;;
